score,price,count
80,16.372151898734177,395
81,17.18235294117647,680
82,18.87076749435666,1772
83,18.237352737352737,2886
84,19.314580941446614,6097
85,19.950455005055613,8901
86,22.134156729131174,11740
87,24.902734598058498,15761
88,28.689472039987503,16005
89,32.184857597735714,11306
90,36.91221959035809,14354
91,43.22776778103987,10559
92,51.05042301184433,8865
93,63.112215669755685,5935
94,81.43693824296898,3449
95,109.23541963015647,1406
96,159.29253112033194,482
97,207.17391304347825,207
98,245.4927536231884,69
99,284.2142857142857,28
100,485.94736842105266,19
